id,Dimensions,Length,Width,Height,Description,Cargo Type,Special Handling Instructions,Packaging Type,Cargo Value,Temperature Requirements,Fragile Indicator,Insurance,Labeling Requirements,Packaging Requirements
1,10x10x10,10,10,10,Electronics,Consumer Goods,Handle with Care,Box,"$1,000",Room Temperature,Yes,Yes,"FRAGILE, HANDLE WITH CARE",Sealed Box
2,15x20x30,15,20,30,Perishable Foods,Perishable,Keep Upright,Pallet,"$2,500",Cold,Yes,Yes,"PERISHABLE, KEEP COLD",Pallet Wrap
3,5x5x5,5,5,5,Books,General,No Special Handling,Box,"$200",Room Temperature,No,No,None,Sealed Box
4,20x20x20,20,20,20,Furniture,Household,Handle with Care,Wooden Crate,"$1,200",Room Temperature,Yes,Yes,"HANDLE WITH CARE",Crate
5,12x10x8,12,10,8,Clothing,Apparel,No Special Handling,Bag,"$300",Room Temperature,No,No,None,Sealed Bag
6,16x14x10,16,14,10,Ceramics,Art & Collectibles,Fragile,Handle with Care,Box,"$400",Room Temperature,Yes,Yes,"FRAGILE",Sealed Box with Padding
7,40x30x25,40,30,25,Auto Parts,Machinery,Handle with Care,Wooden Crate,"$2,000",Room Temperature,No,Yes,"HEAVY",Crate
8,50x40x30,50,40,30,Pharmaceuticals,Medical,Keep Cold,Insulated Box,"$5,000",Cold,Yes,Yes,"KEEP COLD",Insulated Sealed Box
9,60x50x40,60,50,40,Chemicals,Hazardous,Handle with Care,Hazardous Material Drum,"$3,000",Room Temperature,No,Yes,"HAZARDOUS MATERIAL",Sealed Drum
10,8x8x8,8,8,8,Toys,Consumer Goods,No Special Handling,Box,"$100",Room Temperature,No,No,None,Sealed Box
