id,Compliance Standards,Certifications,Material Safety Data Sheet (MSDS),Recycling Information,Legal Disclaimers,Country,Regulation,Requirement,Third-Party Testing,Environmental Impact,Regulatory Updates,FAQs on Compliance,Contact for Compliance Queries
1,ISO 14001,CertA001,MSDS001,100% Recyclable,Standard Disclaimer,USA,FDA,Food Safe Packaging,Yes,Low,Bi-annually,FAQs1,complianceUSA@pack.com
2,EU REACH,CertB002,MSDS002,Non-Recyclable,Use Caution,UK,EU ECHA,Environmentally Friendly,Yes,Moderate,Annually,FAQs2,complianceUK@pack.com
3,ROHS,CertC003,MSDS003,100% Biodegradable,Liability Limits,Germany,CE Marking,Electronics Safe,Yes,High,Quarterly,FAQs3,complianceGER@pack.com
4,US FDA,CertD004,MSDS004,Partly Recyclable,Limitation of Liability,Canada,Health Canada,Child Safe Packaging,No,Minimal,Semi-annually,FAQs4,complianceCAN@pack.com
5,ASTM D6400,CertE005,MSDS005,Compostable,Handle with Care,France,Blue Angel,Environmentally Safe,Yes,Low,Annually,FAQs5,complianceFR@pack.com
6,Green Seal,CertF006,MSDS006,100% Recyclable,Eco Statement,Australia,Green Australia,Green Packaging,No,Minimal,Bi-annually,FAQs6,complianceAUS@pack.com
7,OEKO-TEX,CertG007,MSDS007,Non-Biodegradable,For External Use,South Korea,KC,Textile Safe,Yes,Minimal,Quarterly,FAQs7,complianceKOR@pack.com
8,ISO 22000,CertH008,MSDS008,100% Organic,Standard Disclaimer,Japan,JP Standards,Food Grade,Yes,Low,Annually,FAQs8,complianceJP@pack.com
9,US EPA,CertI009,MSDS009,Can be Repurposed,Recycle After Use,Brazil,ANVISA,Eco Standards,No,High,Bi-annually,FAQs9,complianceBRA@pack.com
10,FSC Certified,CertJ010,MSDS010,100% Sustainable,Responsibly Sourced,India,BIS,Wood Sourced Responsibly,Yes,Minimal,Quarterly,FAQs10,complianceIND@pack.com
