Booking ID,Booking Confirmation Number,Confirmation Status,Payment Status,Invoice Number,Amount Due,Vessel Name,Voyage Number,Port of Loading,Port of Discharge,ETA (Estimated Time of Arrival),Payment Terms,Order Confirmation,Payment Method
1,BCN123,Confirmed,Unpaid,INV001,10000,SS Neptune,Voyage-001,Port A,Port B,2023-11-01,Net 30,OC-001,Credit Card
2,BCN124,Confirmed,Paid,INV002,8500,TS Triton,Voyage-002,Port C,Port D,2023-11-05,Net 30,OC-002,Bank Transfer
3,BCN125,Confirmed,Unpaid,INV003,12000,MS Poseidon,Voyage-003,Port E,Port F,2023-11-10,Net 30,OC-003,Cash
4,BCN126,Confirmed,Paid,INV004,9500,SS Neptune, Voyage-004,Port A,Port B,2023-11-15,Net 30,OC-004,Credit Card
5,BCN127,Confirmed,Unpaid,INV005,11000,TS Triton,Voyage-005,Port C,Port D,2023-11-20,Net 30,OC-005,Bank Transfer
6,BCN128,Confirmed,Unpaid,INV006,13000,MS Poseidon,Voyage-006,Port E,Port F,2023-11-25,Net 30,OC-006,Cash
7,BCN129,Confirmed,Paid,INV007,9000,SS Neptune,Voyage-007,Port A,Port B,2023-11-30,Net 30,OC-007,Credit Card
8,BCN130,Confirmed,Paid,INV008,7200,TS Triton,Voyage-008,Port C,Port D,2023-12-05,Net 30,OC-008,Bank Transfer
9,BCN131,Confirmed,Unpaid,INV009,14500,MS Poseidon,Voyage-009,Port E,Port F,2023-12-10,Net 30,OC-009,Cash
10,BCN132,Confirmed,Paid,INV010,9800,SS Neptune,Voyage-010,Port A,Port B,2023-12-15,Net 30,OC-010,Credit Card
