Page No,Page,Section,Field Name,Validate,Data Type,Parent Form,Field_Needed?,Tooltip,Prompt
,Customer Quote,Customer information,Customer ID,Mandatory,Integer,N/A,Yes,Unique identifier for the customer,Enter your Customer ID
,Customer Quote,Customer information,Customer Name,Mandatory,String,N/A,Yes,Full name of the customer,Enter your full name
,Customer Quote,Customer information,Contact Number,Mandatory,Integer,N/A,Yes,Customer's contact number,Enter your contact number
,Customer Quote,Customer information,Email Address,Mandatory,String,N/A,Yes,Customer's email address,Enter your email address
,Customer Quote,Customer information,Shipping Address,Mandatory,String,N/A,Yes,Address where goods will be shipped,Enter your shipping address
,Customer Quote,Customer information,Billing Address,Conditional,String,N/A,Yes,Address for billing purposes,Enter your billing address
,Customer Quote,Customer information,Port of Origin,Mandatory,Dropdown,Refer from Ports Screen,Yes,Port where goods will be shipped from,Select port of origin
,Customer Quote,Customer information,Port of Destination,Mandatory,Dropdown,Refer from Ports Screen,Yes,Port where goods will be shipped to,Select port of destination
,Customer Quote,Customer information,Company Name,Optional,String,N/A,No,Name of the customer's company,Enter your company name (if applicable)
,Customer Quote,Customer information,VAT Number,Optional,String,N/A,No,Value Added Tax number,Enter your VAT number (if applicable)
,Customer Quote,Customer information,Preferred Currency,Optional,Dropdown,"USD, EUR, GBP",No,Currency for transactions,Select your preferred currency
,Customer Quote,shipment information,Shipment ID,Mandatory,Integer,N/A,Yes,Unique identifier for the shipment,Enter the Shipment ID
,Customer Quote,shipment information,Shipment Type,Mandatory,Dropdown,"FCL, LCL",Yes,Type of shipment,Select the shipment type
,Customer Quote,shipment information,Origin Port,Mandatory,String,List of valid ports,Yes,Port where the shipment will originate,Origin Port
,Customer Quote,shipment information,Destination Port,Mandatory,String,List of valid ports,Yes,Port where the shipment will be delivered,Destination Port
,Customer Quote,shipment information,Type of Cargo,Mandatory,String,List of valid cargo types,Yes,Type of cargo that will be shipped,Type of Cargo
,Customer Quote,shipment information,Commodity,Mandatory,Dropdown,Refer from Commodity Screen,Yes,Type of goods being shipped,Select the commodity
,Customer Quote,shipment information,Weight,Mandatory,Float,N/A,Yes,Weight of the shipment,Enter the weight of the shipment
